N_unmapped	1200000	1200000	1200000
N_multimapping	830000	830000	830000
N_noFeature	310000	410000	405000
N_ambiguous	12000	14000	13500
ENSG00000000003	2583333	1283333	1300000
ENSG00000000005	5166666	2566666	2600000
ENSG00000000419	7750000	3850000	3900000
ENSG00000000457	10333333	5133333	5200000
ENSG00000000460	12916666	6416666	6500000
ENSG00000000938	2583333	1283333	1300000
ENSG00000000971	5166666	2566666	2600000
ENSG00000001036	7750000	3850000	3900000
ENSG00000001084	10333333	5133333	5200000
ENSG00000001167	12916666	6416666	6500000
ENSG00000001460	2583333	1283333	1300000
ENSG00000001461	5166666	2566666	2600000
