N_unmapped	1200000	1200000	1200000
N_multimapping	830000	830000	830000
N_noFeature	310000	410000	405000
N_ambiguous	12000	14000	13500
ENSG00000000003	2583333	58333	2525000
ENSG00000000005	5166666	116666	5050000
ENSG00000000419	7750000	175000	7575000
ENSG00000000457	10333333	233333	10100000
ENSG00000000460	12916666	291666	12625000
ENSG00000000938	2583333	58333	2525000
ENSG00000000971	5166666	116666	5050000
ENSG00000001036	7750000	175000	7575000
ENSG00000001084	10333333	233333	10100000
ENSG00000001167	12916666	291666	12625000
ENSG00000001460	2583333	58333	2525000
ENSG00000001461	5166666	116666	5050000
